location,date,total_tweets,disease_tweets,latitude,longitude,disease_rate,week
"Nairobi, Kenya",2020-07-25,42,24,-1.3026148,36.828842,57.14,2020-07-20/2020-07-26
New Delhi,2020-07-25,57,44,28.6419258,77.2217499,77.19,2020-07-20/2020-07-26
"New Delhi, Delhi",2020-07-25,13,9,28.6419258,77.2217499,69.23,2020-07-20/2020-07-26
"New Delhi, India",2020-07-25,119,99,28.6419258,77.2217499,83.19,2020-07-20/2020-07-26
New York,2020-07-25,22,18,40.7127281,-74.0060152,81.82,2020-07-20/2020-07-26
"New York, NY",2020-07-25,38,27,40.7127281,-74.0060152,71.05,2020-07-20/2020-07-26
"New York, USA",2020-07-25,13,7,40.7127281,-74.0060152,53.85,2020-07-20/2020-07-26
Nigeria,2020-07-25,64,33,9.6000359,7.9999721,51.56,2020-07-20/2020-07-26
"Noida, India",2020-07-25,12,6,28.5706333,77.3272147,50.0,2020-07-20/2020-07-26
Odisha,2020-07-25,14,14,20.5431241,84.6897321,100.0,2020-07-20/2020-07-26
Pakistan,2020-07-25,21,14,30.3308401,71.247499,66.67,2020-07-20/2020-07-26
Philippines,2020-07-25,20,17,12.7503486,122.7312101,85.0,2020-07-20/2020-07-26
"Pretoria, South Africa",2020-07-25,18,15,-25.7459277,28.1879101,83.33,2020-07-20/2020-07-26
"Pune, India",2020-07-25,14,13,18.5213738,73.8545071,92.86,2020-07-20/2020-07-26
Qatar,2020-07-25,13,11,25.3336984,51.2295295,84.62,2020-07-20/2020-07-26
Scotland,2020-07-25,11,9,56.7861112,-4.1140518,81.82,2020-07-20/2020-07-26
Singapore,2020-07-25,14,7,1.357107,103.8194992,50.0,2020-07-20/2020-07-26
South Africa,2020-07-25,62,40,-28.8166236,24.991639,64.52,2020-07-20/2020-07-26
"South East, England",2020-07-25,12,10,54.9498723,-1.3603654,83.33,2020-07-20/2020-07-26
Sri Lanka,2020-07-25,19,8,7.5554942,80.7137847,42.11,2020-07-20/2020-07-26
Switzerland,2020-07-25,44,42,46.7985624,8.2319736,95.45,2020-07-20/2020-07-26
"Sydney, Australia",2020-07-25,11,8,-33.8698439,151.2082848,72.73,2020-07-20/2020-07-26
"Texas, USA",2020-07-25,20,14,31.2638905,-98.5456116,70.0,2020-07-20/2020-07-26
UK,2020-07-25,68,43,54.7023545,-3.2765753,63.24,2020-07-20/2020-07-26
USA,2020-07-25,29,20,39.7837304,-100.445882,68.97,2020-07-20/2020-07-26
Uganda,2020-07-25,13,11,1.5333554,32.2166578,84.62,2020-07-20/2020-07-26
United Kingdom,2020-07-25,111,85,54.7023545,-3.2765753,76.58,2020-07-20/2020-07-26
United States,2020-07-25,108,94,39.7837304,-100.445882,87.04,2020-07-20/2020-07-26
"Vancouver, BC",2020-07-25,15,7,49.2608724,-123.113952,46.67,2020-07-20/2020-07-26
WORLDWIDE,2020-07-25,36,36,-33.8938107,151.2621478,100.0,2020-07-20/2020-07-26
"Washington, DC",2020-07-25,24,21,38.8950368,-77.0365427,87.5,2020-07-20/2020-07-26
Worldwide,2020-07-25,46,41,-33.8938107,151.2621478,89.13,2020-07-20/2020-07-26
mumbai,2020-07-25,14,13,19.054999,72.8692035,92.86,2020-07-20/2020-07-26
