location,geocoded,latitude,longitude,full_address
Brazil,True,-10.3333333,-53.2,Brasil
Hyderabad,True,17.360589,78.4740613,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India"
Hong Kong,True,22.350627,114.1849161,"香港 Hong Kong, 中国"
"New York, US & Delhi, India",False,,,
"Kerala, India",True,10.3528744,76.5120396,"Kerala, India"
Qatar,True,25.3336984,51.2295295,قطر
Earth,True,34.2331373,-102.4107493,"Earth, Lamb County, Texas, United States of America"
Uganda,True,1.5333554,32.2166578,Uganda
"Belfast, Northern Ireland",True,54.5975805,-5.9277097,"Belfast, Belfast City District, County Antrim, Northern Ireland / Tuaisceart Éireann, United Kingdom"
"New Delhi, Delhi",True,28.6419258,77.2217499,"New Delhi, Foot Over Bridge 3, New Delhi Railway Station, Karol Bagh Tehsil, Central Delhi, Delhi, 110055, India"
"Brussels, Belgium",True,50.8465573,4.351697,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
"New York, USA",True,40.7127281,-74.0060152,"City of New York, New York, United States of America"
"Noida, India",True,28.5706333,77.3272147,"Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India"
Text RESIST to 50409,False,,,
"Kuala Lumpur, Malaysia",True,3.1526589,101.7022205,"Kuala Lumpur, Malaysia"
"Gujarat, India",True,22.3850051,71.745261,"Gujarat, India"
"Kampala, Uganda",True,0.3177137,32.5813539,"Kampala Capital City, Kampala, Central Region, Uganda"
"Bhubaneswar, India",True,20.2602964,85.8394521,"Bhubaneswar, Bhubaneswar Municipal Corporation, Bhubaneswar (M.Corp.), Khordha, Odisha, 751001, India"
Kenya,True,1.4419683,38.4313975,Kenya
"South East, England",True,54.9498723,-1.3603654,"Whitburn Church of England Academy, Rackly Way, Whitburn, Sunderland, North East, England, SR6 7EF, United Kingdom"
Lagos,True,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
"Islamabad, Pakistan",True,33.6938118,73.0651511,"اسلام آباد, زون 1, وفاقی دارالحکومت اسلام آباد, 44000, پاکستان"
Scotland,True,56.7861112,-4.1140518,"Alba / Scotland, United Kingdom"
"Edinburgh, Scotland",True,55.9533456,-3.1883749,"City of Edinburgh, Alba / Scotland, United Kingdom"
"Brisbane, Queensland",True,-27.4689623,153.0235009,"City of Brisbane, Queensland, Australia"
"Sydney, Australia",True,-33.8698439,151.2082848,"Sydney, Council of the City of Sydney, New South Wales, Australia"
"Ahmadabad City, India",True,23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India"
"Berlin, Germany",True,52.5173885,13.3951309,"Berlin, Deutschland"
